"Issue Type","Summary","Description","Epic Link","Assignee","Story Points","Priority","Sprint/Due Date","Acceptance Criteria"
"Story","Implement authoritative inventory and FEFO services with row locking","Build apps.inventory services for receiving, sale deductions, safe customer-return restocking, supplier-return deductions, FEFO eligibility, and matching StockMovement creation. No direct/manual adjustment operation is included. Estimate: 600m.","Catalog / Inventory / Purchasing","Hala","13","Highest","2026-09-01","1) Only apps.inventory changes batch quantity; 2) every mutation and movement is created in one transaction.atomic block; 3) eligible batches are locked with select_for_update in expiry_date, first_received_at, id order before quantities are rechecked; 4) expired or insufficient stock is rejected; 5) concurrent requests cannot oversell; 6) reserved manual-adjustment codes are never exposed or used."
"Story","Add the two approved stock-traceability uniqueness constraints","Create reviewed follow-up migrations only for unique (sales_invoice_line, batch) allocations and unique non-null stock-movement source lines, as required by ERD Section 20; do not alter unrelated baseline fields. Estimate: 240m.","Catalog / Inventory / Purchasing","Hala","5","Highest","2026-08-30","1) SaleBatchAllocation enforces one row per sales line and batch; 2) StockMovement enforces one movement per non-null authoritative source line using the approved conditional key; 3) migrations apply cleanly without rewriting shared history; 4) duplicate attempts fail deterministically; 5) existing valid rows remain usable."
"Story","Post purchase invoices atomically with targeted locks","Implement purchase-invoice posting and receiving over existing models, using inventory services and targeted row locking; PurchaseInvoice itself is the receiving document. Estimate: 600m.","Catalog / Inventory / Purchasing","Hala","13","Highest","2026-09-03","1) Posting locks the PurchaseInvoice and each existing batch cost layer that will be increased; 2) status, totals, expiry, quantities, costs, and permissions are rechecked after locking; 3) batch increases and PURCHASE_RECEIPT movements commit atomically; 4) snapshots and balances are correct; 5) failure rolls back every write; 6) no PurchaseOrder or separate GoodsReceipt is created."
"Story","Post supplier returns against exact batches with targeted row locks","Implement supplier-return posting over the existing return models, exact source batches, apps.inventory services, and targeted row locks. Estimate: 360m.","Catalog / Inventory / Purchasing","Hala","8","Highest","2026-09-04","1) Posting locks the SupplierReturn and every affected MedicineBatch before validation; 2) status and available quantities are rechecked after locking; 3) exact-batch deductions and SUPPLIER_RETURN movements commit atomically; 4) value snapshots and supplier statement effects remain traceable; 5) over-return and rollback paths are tested."
"Story","Deliver catalog, inventory, purchasing, and supplier-return UI-UX","Design and implement the domain screens using the existing component system while Hala-owned services remain the business boundary. Estimate: 360m.","Catalog / Inventory / Purchasing","Mhmd Hajeer","8","High","2026-09-04","1) Catalog/party maintenance, batch lookup, expiry/low-stock states, purchase posting, and supplier returns are usable on desktop and mobile; 2) permissions control visible actions; 3) batch quantity is never directly editable; 4) confirmation, error, empty, and loading states use shared components; 5) navigation uses existing namespaces."
"Story","Verify catalog, inventory, purchasing, and supplier-return behavior","Add focused automated tests for the remaining domain logic and concurrency-sensitive paths; reuse existing model tests instead of duplicating baseline coverage. Estimate: 360m.","Catalog / Inventory / Purchasing","Hala","8","Highest","2026-09-05","1) Tests cover units, barcodes, deactivation, FEFO, expiry, multi-batch allocation, insufficient stock, purchase receiving, supplier returns, permissions, rollback, and movements; 2) concurrent stock tests prove targeted locks prevent lost updates/overselling; 3) no test depends on shared database state."
"Epic","POS / Sales / Prescriptions","Complete prescription, barcode POS, FEFO sale-completion, and invoice/receipt workflows over the existing baseline models. Malik owns domain logic and planning coordination; Mhmd Hajeer owns all domain design/UI-UX.","","Malik","","Highest","2026-09-06",""
"Story","Deliver lightweight prescription workflows over the existing models","Implement remaining prescription validation, permission, query, and request-handling logic without recreating Prescription or PrescriptionItem. Attachment upload remains disabled unless storage, access control, and retention are explicitly approved and configured. Estimate: 240m.","POS / Sales / Prescriptions","Malik","5","High","2026-09-01","1) Authorized users can create and retrieve lightweight prescriptions with optional customer/prescriber and medicine items; 2) required quantities and instructions validate; 3) POS receives non-clinical prescription-required warning data; 4) no clinical advice or complex lifecycle is added; 5) file upload is not enabled without the documented prerequisite decision."
"Story","Build server-side POS search, barcode, cart, and totals logic","Implement medicine/barcode lookup, draft-sale handling, unit conversion, customer/prescription association, and authoritative Decimal preview calculations over the existing sales models. Estimate: 360m.","POS / Sales / Prescriptions","Malik","8","Highest","2026-09-02","1) Known barcodes resolve to the correct active medicine/unit and unknown barcodes create nothing; 2) saved and walk-in customer flows work; 3) quantities, discounts, tax, and totals are recalculated server-side using the approved rounding sequence; 4) tampered totals are rejected; 5) stock/expiry information is query-only until completion."
"Story","Complete sales atomically with deterministic FEFO row locks","Implement sale completion over existing invoices/lines/allocations by calling apps.inventory and applying targeted locks and status revalidation. Estimate: 600m.","POS / Sales / Prescriptions","Malik","13","Highest","2026-09-03","1) Completion locks the SalesInvoice and eligible MedicineBatch rows with select_for_update in expiry_date, first_received_at, id order; 2) status, permission, totals, prescription acknowledgement, and stock are rechecked after locking; 3) allocations, negative SALE movements, cost snapshots, optional initial payment, and invoice status commit atomically; 4) insufficient/expired stock or any error rolls back all writes; 5) concurrent completions cannot oversell."
"Story","Deliver keyboard-first POS, sales, and prescription UI-UX","Design and implement the server-rendered POS and prescription screens with minimal vanilla JavaScript and the existing shared components. Estimate: 360m.","POS / Sales / Prescriptions","Mhmd Hajeer","8","Highest","2026-09-04","1) Barcode Enter behavior, manual search, cart editing, customer context, warning acknowledgement, stock feedback, and completion confirmation are keyboard-accessible; 2) the interface remains responsive; 3) errors preserve the cart safely; 4) no SPA or additional frontend framework is introduced; 5) permissions control visible actions."
"Story","Deliver print-ready sales invoice and receipt output","Own the visual design and implementation of historically accurate HTML print views using stored invoice snapshots and shared branding. Estimate: 240m.","POS / Sales / Prescriptions","Mhmd Hajeer","5","High","2026-09-04","1) Completed invoices display the approved number, pharmacy/customer snapshots, lines, discounts, tax, totals, payments, and balance; 2) browser print output is clean and legible; 3) later master-data edits do not change historical output; 4) PDF remains optional and cannot delay the HTML output."
"Story","Verify prescription, POS, sale-completion, and invoice behavior","Add focused tests for remaining sales and prescription services, permissions, Decimal calculations, concurrency, and output data; do not duplicate baseline model tests. Estimate: 360m.","POS / Sales / Prescriptions","Malik","8","Highest","2026-09-05","1) Tests cover barcode lookup, walk-in/saved customers, prescription warnings, rounding, FEFO multi-batch allocation, cost snapshots, payments, rollback, and permissions; 2) concurrency tests prove deterministic locks prevent overselling; 3) invoice output uses snapshots; 4) tests create their own isolated data."
"Epic","Finance / Returns / Reporting","Complete payment, customer-return/refund, invoice/statement, and essential reporting workflows over the existing baseline models. Yasser owns finance/reporting logic; Mhmd Hajeer owns all domain design/UI-UX.","","Yasser","","Highest","2026-09-06",""
"Story","Post and reverse customer and supplier payments with invoice row locks","Implement payment services over the existing CustomerPayment and SupplierPayment models using targeted invoice locking and approved reversal metadata. Estimate: 600m.","Finance / Returns / Reporting","Yasser","13","Highest","2026-09-03","1) Posting/reversal locks the affected sales or purchase invoice with select_for_update; 2) status, outstanding balance, amount, method, and permission are rechecked after locking; 3) multiple payments work without overpayment; 4) paid totals, balances, and payment status update atomically; 5) reversals retain actor/time/reason and original history; 6) concurrent payments cannot exceed the balance."
"Story","Process customer returns and refunds with targeted row locks","Implement customer-return/refund services over existing models, exact sold allocations, apps.inventory restocking services, and targeted row locks. Estimate: 600m.","Finance / Returns / Reporting","Yasser","13","Highest","2026-09-04","1) Posting locks the CustomerReturn and every affected batch before quantity/restock validation; 2) cumulative returned quantity and refund value cannot exceed the original sale allocation/value; 3) safe non-expired items restore the original batch with a movement while unsafe/damaged/expired items do not; 4) refunds remain separate posted records and original invoice totals are unchanged; 5) all writes roll back together on failure."
"Story","Provide invoice search and derived customer/supplier statements","Build permission-scoped query services over existing invoices, active payments, reversals, customer refunds, and supplier returns; do not create mutable balance or duplicate invoice tables. Estimate: 360m.","Finance / Returns / Reporting","Yasser","8","High","2026-09-04","1) Users can filter and locate sales/purchase invoices; 2) statements show chronological authoritative transactions; 3) unpaid, partial, paid, reversed-payment, refund, and supplier-return effects reconcile to invoice balances; 4) party data is isolated by permission; 5) no summary table becomes a source of truth."
"Story","Deliver the essential Phase 1 report queries","Implement permission-scoped report queries for sales, purchases, inventory, low stock, near-expiry, expired stock, receivables, payables, payments, and basic COGS/gross profit using authoritative records. Estimate: 360m.","Finance / Returns / Reporting","Yasser","8","High","2026-09-05","1) Report totals reconcile to stored transactions; 2) COGS uses SaleBatchAllocation acquisition-cost snapshots; 3) inventory/expiry reports use current batches and UTC expiry rules; 4) receivables/payables reflect active payments and returns; 5) no report transaction or mutable summary model is added; 6) CSV export is attempted only after core reports pass."
"Story","Deliver finance, returns, statements, and reporting UI-UX","Design and implement permission-aware screens for payments, reversals, customer returns/refunds, invoice search, statements, and reports using shared components. Estimate: 360m.","Finance / Returns / Reporting","Mhmd Hajeer","8","High","2026-09-05","1) Screens expose only role-permitted actions and financial detail; 2) balances, statuses, transaction chronology, conditions, refund eligibility, filters, totals, and empty states are clear; 3) destructive/effective actions require confirmation; 4) layouts are responsive and accessible; 5) no duplicate role-specific interface is created."
"Story","Verify finance, returns, statements, and report behavior","Add focused tests for remaining finance/reporting logic, targeted-lock concurrency, permissions, reconciliation, and rollback; reuse baseline model tests. Estimate: 360m.","Finance / Returns / Reporting","Yasser","8","Highest","2026-09-06","1) Tests cover partial/multiple payments, overpayment rejection, reversals, return/refund caps, safe/unsafe restocking, statements, reports, COGS, permissions, and rollback; 2) concurrency tests prevent double payment and over-return; 3) report totals reconcile to source records; 4) tests use isolated data."
"Story","Reconcile the end-to-end financial and inventory effects","Validate one representative cross-domain scenario from purchase receiving through sale, partial/full payment, customer return/refund, supplier return, balances, and reports. Estimate: 240m.","Finance / Returns / Reporting","Yasser","5","Highest","2026-09-06","1) Stock movements reconcile to batch changes; 2) sales/purchase balances reconcile to active payments and returns; 3) COGS and gross profit use stored allocation costs; 4) customer/supplier statements match invoice balances; 5) no source transaction is silently rewritten; 6) discrepancies fail the acceptance run with traceable evidence."
